"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"DN",2.01541372371147,0.0104140711072596,0.470000933198498,1.0070964572434,1.72967641580431,2.05104690785533,2.33868296659826,2.85917326462355,2036.83741052204,0.9996486714178
"K600",9.63590149283948,0.0638927884878887,2.51423375506691,5.15498042586725,7.85053314619549,9.44896644369287,11.1813934774206,15.0351292223224,1548.48720217176,0.999686142545555
"Nfix",-4.85038990033092,0.0118920222626875,0.499505878872702,-5.94355326298947,-5.15333251543927,-4.80413913846667,-4.50840560691382,-3.96534995516505,1764.28922107928,0.99970821868691
"sigma2",0.189401897369833,0.00063378320042937,0.0300210379474979,0.14093925984627,0.168596659619794,0.185870758164283,0.206344770003063,0.25895663782341,2243.72672288717,1.00013313269142
"logPost",26.737696136334,0.0400996766052439,1.5325670088041,22.6195589874768,26.0448894785216,27.0784523562945,27.8443226018809,28.5975261201595,1460.68713570345,0.999588162547716
