"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"DN",2.82364323840544,0.00726667074195716,0.308975458675018,2.2231622865567,2.62209113642833,2.82664739766642,3.02096287845959,3.43125370641784,1807.91083003835,0.999864876350611
"K600",14.3105675779988,0.0312989542017122,1.27053072255518,11.9949617197133,13.4148513693932,14.2484103694812,15.1236019805549,17.0478228121053,1647.82348821554,1.00012440679483
"Nfix",-5.61341666708598,0.0105466318499054,0.395082189052259,-6.43226930278936,-5.87553112888113,-5.60260263629,-5.35006423366958,-4.88100274199898,1403.28967571399,0.999799888067861
"sigma2",0.109502566860107,0.000364167517307232,0.0172810175440934,0.0819431449955108,0.0970405617629265,0.107545338375136,0.120059891331283,0.147761901208837,2251.83316673348,1.00017410103889
"logPost",40.9892404069326,0.0395412205218264,1.49299708580514,37.3058564046201,40.2596419327474,41.3177391471682,42.0898885629474,42.8788545628628,1425.66595542563,1.00190453119376
