"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"DN",-1.60417346449496,0.0244483984529332,1.1122223864061,-3.90710518375751,-2.32316161141387,-1.56034458691527,-0.838550529055485,0.430211984172676,2069.5810273479,0.999823255097981
"K600",12.4582736621392,0.0659257212730937,2.92480703489831,7.03249694483148,10.451335209328,12.423049909829,14.4598417631435,18.4006199415481,1968.26992859317,0.999901325468347
"sigma2",0.590924114179041,0.0022682586646028,0.0960042493590599,0.435077178593803,0.522704260822882,0.579944301984941,0.646156424335177,0.811326083347158,1791.41314037454,1.00045994913141
"logPost",-1.65481794248731,0.0302213668803048,1.21952033759269,-4.86760352185529,-2.19455196812701,-1.35110920433239,-0.780922166358645,-0.270144748274239,1628.35798583739,1.00021183684347
