"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"DN",-0.646607961505163,0.0188121752725364,0.971853079240193,-2.5646862202682,-1.30478518500971,-0.636022966654932,0.0222543508157017,1.21617581127815,2668.84405055573,0.999710355835405
"K600",14.2977957787215,0.0534324803468947,2.66775255921937,9.28447721948309,12.4773385305042,14.1780016344712,16.02086354249,19.7642432818488,2492.75973522164,0.999646880956192
"sigma2",0.456000095958047,0.00138027679045611,0.0727322918948432,0.341871761388897,0.405337967714314,0.44619805753769,0.497203798233711,0.619910693233737,2776.65662039706,0.999655366142191
"logPost",4.17327841976718,0.0297154473110158,1.21772504333902,0.961365010728873,3.65215959091499,4.48066626359728,5.0659965950834,5.58585168966736,1679.32182053153,0.999841258501455
